COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
MX,Piedras Negras,PDN_Piedras_Negras,Non Wealthy,Prioritized,Retail SST > SS CVR,0.832376873,0.852000797,0.860953377,0.864671788,0.855934193,0.839743042,0.846941184,0.859805158,0.856904627
MX,Cuernavaca,CVA-Centro,Non Wealthy,Prioritized,Gross Profit UE,0.884462516,0.826986907,0.710728073,1.04968233,1.593082731,1.840607462,2.31017397,2.694098975,2.79064999
PE,Trujillo,Centro Trujillo,Non Wealthy,High Priority,Retail SST > SS CVR,0.893896607,0.900763334,0.905009023,0.901552581,0.894155114,0.887157649,0.895102509,0.898451586,0.902388738
PE,Lima,San isidro,Wealthy,Prioritized,Gross Profit UE,3.529368325,3.226593817,3.131531571,3.338740614,3.213816112,3.080702388,3.1622027,3.307615504,2.553866403
BR,Grande São Paulo,Jardins/Pinheiros,Wealthy,High Priority,Gross Profit UE,3.222208798,3.507246252,3.684770266,3.779976967,4.152672654,4.752892132,5.14285036,5.083974125,4.433186376
PE,Lima,Monterrico,Wealthy,Prioritized,Gross Profit UE,3.367031366,3.028711214,2.911375538,3.04532656,2.877522425,2.779946014,2.866133003,2.965887816,2.051294376
PE,Huancayo,Huancayo centro,Non Wealthy,Prioritized,Gross Profit UE,0.592834666,0.183502158,0.414083522,0.579753566,-0.170801444,-0.520146929,-0.180704248,-0.489480131,-1.468467712
MX,Salamanca,Salamanca,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.808692615,0.817201239,0.827684503,0.833909437,0.83069447,0.809166897,0.834178602,0.845878458,0.853030152
MX,Dolores Hidalgo,DLH Dolores Hidalgo,Non Wealthy,Not Prioritized,Gross Profit UE,3.663678208,3.543181024,3.906404063,4.136748466,1.736697895,-3.915241727,-0.420272351,-1.023579302,0.631583324
PE,Chimbote,Bellamar,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.767779673,0.768742004,0.793418621,0.824985994,0.839480237,0.791927763,0.849677792,0.855869379,0.870783655
AR,Buenos Aires,Lomas de Zamora - Banfield,Wealthy,High Priority,Retail SST > SS CVR,0.914346954,0.912579584,0.91208451,0.914541583,0.916317292,0.917299218,0.919649237,0.914366715,0.909953787
CL,Rancagua,Rancagua Centro,Non Wealthy,Prioritized,Gross Profit UE,-3.279334028,-3.25684415,-4.487687962,-4.870240593,-4.859470886,-5.218121244,-4.997562508,-4.053829117,-4.582923102
CO,Cartago,Cartago,Non Wealthy,Not Prioritized,Gross Profit UE,2.227527746,2.195604474,2.222639111,2.404277659,2.506709583,2.634883913,2.961832812,3.036378801,2.990579121
BR,Grande São Paulo,SP - SP - Vila Medeiros/Vila Maria,Non Wealthy,Not Prioritized,Gross Profit UE,-1.627764556,-1.505063954,-1.233503452,-1.281293684,-1.153446472,-0.418784607,-0.030945957,0.234766753,-0.109120727
CL,Santiago De Chile,Población San Joaquin,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.825700402,0.827149619,0.823252747,0.793445704,0.774330201,0.776556771,0.775762458,0.786035604,0.760478059
CO,Barranquilla,Barranquilla sur,Non Wealthy,Prioritized,Gross Profit UE,1.251612128,1.202868882,1.390384363,1.653415954,1.942460681,2.259881444,2.356525158,2.39595629,2.159951873
MX,Aguascalientes,AGS_Jesus Maria,Non Wealthy,Prioritized,Gross Profit UE,-0.056037012,-0.437612587,0.158532826,0.664201673,1.070590783,1.53398213,1.501121553,1.592714195,1.457452587
MX,Ciudad Guzman,CDG La Hacienda,Non Wealthy,Not Prioritized,Gross Profit UE,-19.14756226,-20.20953715,-16.63593792,-10.72665138,-9.545081306,-9.5526461,-8.892728242,-9.453919741,-13.6403123
CO,Santa Marta,Centro,Non Wealthy,Prioritized,Retail SST > SS CVR,0.91702483,0.919367721,0.920309595,0.920036111,0.920610856,0.931717749,0.938634488,0.94820868,0.953101415
AR,Cordoba,Villa Adela,Wealthy,Prioritized,Gross Profit UE,0.204429813,-0.226530715,-0.172520593,0.051948382,0.368615699,-0.165241973,-0.369268331,0.204149023,-0.219170495
CO,Chia,Chia,Non Wealthy,Prioritized,Gross Profit UE,3.020220745,3.100743723,3.16765609,3.205144282,3.244575053,3.333042952,3.421429718,3.513149516,3.099014447
MX,Cuautla,Cuautla,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.875308556,0.882743058,0.882114732,0.883133648,0.88827105,0.883786498,0.890550985,0.892281733,0.887299534
AR,San Rafael,SAN_RAFAEL,Non Wealthy,Not Prioritized,Gross Profit UE,-2.395410372,-2.18316131,-2.072861552,-2.006546742,-1.869091262,-2.560774907,-2.236756268,-1.40526719,-0.862310997
BR,Londrina,Cinco Conjuntos,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0.212773109,0.497142857,0.328571429,0.2,0.4,0.358333333,0.49,0.550238095,0.591428571
MX,Ciudad Valles,VALL Sur,Non Wealthy,Not Prioritized,Gross Profit UE,1.203055126,-0.178820182,-0.698560423,1.222857102,-2.897550052,-0.737404532,3.237111312,3.528101902,3.309378477
BR,Maringa,MP Jardim Aclimação/Vila Bosque/Vila Marumby/Chácara Paulista MGF,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.533333333,0.36,0.486666667,0.3,0.133333333,0.066666667,0,0,0
BR,Grande São Paulo,SP - SP - Tremembe,Non Wealthy,Not Prioritized,Gross Profit UE,-2.01873266,-1.966478781,-2.721042603,-2.957242499,-2.48341662,-1.765754194,-0.709910104,-0.93563644,-0.877094686
MX,Campeche,CAMP Centro,Wealthy,Prioritized,Retail SST > SS CVR,0.895804372,0.906977609,0.917127797,0.92698282,0.915923661,0.918845912,0.920126024,0.916612255,0.9068073
CO,Cali,Alfaguara Jamundi,Wealthy,Prioritized,Gross Profit UE,2.054281702,2.093657442,2.342630636,2.193729279,2.378794076,2.728097595,2.850791352,2.922863266,2.787202397
EC,Santa Elena / Salinas / Libertad,Salinas,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.886023267,0.893726966,0.900818621,0.914971702,0.918060326,0.928043593,0.891606779,0.864055564,0.863709261
BR,Recife,PE - REC - Estância/Jiquiá,Non Wealthy,Not Prioritized,Gross Profit UE,-2.003611982,-1.857381553,-2.266482943,-2.297049386,-2.399125852,-1.840635272,-0.655770913,-0.20639807,-0.948965416
CL,Santiago De Chile,Santiago_centro,Non Wealthy,High Priority,Gross Profit UE,1.592870336,1.404146036,0.89737975,1.330796272,1.749766798,1.774737086,1.84364823,2.585617992,1.901315551
MX,Leon,LEO_Sur,Non Wealthy,Prioritized,Gross Profit UE,-1.576683933,-1.77598777,-2.029567016,-1.385842882,-0.905059451,-0.92002238,-0.575895043,0.300635582,0.256996731
AR,Buenos Aires,ESCOBAR,Non Wealthy,Prioritized,Retail SST > SS CVR,0.660351906,0.719266862,0.694146731,0.558997494,0.528843262,0.456124928,0.439406593,0.413214575,0.398526316
MX,Celaya,Celaya,Non Wealthy,Prioritized,Gross Profit UE,1.842742983,1.353689566,0.851346149,1.283406491,1.747076773,1.328453696,1.442108094,2.269577213,2.193644162
MX,Tulancingo,TGO Jaltepec,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.771601747,0.793081648,0.809570012,0.819009963,0.812301627,0.778509061,0.802392386,0.84040567,0.846824718
AR,Bahia Blanca,BAHIA_BLANCA_SUR,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.817314526,0.829188537,0.827874005,0.828839597,0.831947949,0.837869574,0.848765955,0.850244687,0.838968498
CO,Santa Marta,ZAZUE ESTE,Non Wealthy,Not Prioritized,Gross Profit UE,-0.4927629,-0.65718621,,0.977350175,,1.080407022,1.066669052,1.165923361,3.117996456
MX,Tuxtla Gutierrez,TUX Teran,Non Wealthy,Prioritized,Gross Profit UE,1.117847769,0.536698136,0.307637463,0.691535024,1.312865049,1.878542196,2.129432804,2.58891551,2.087961656
MX,Tehuacan,Tehuacán,Non Wealthy,Not Prioritized,Gross Profit UE,1.293168604,1.050084691,1.227551095,1.423521843,1.93680545,2.308339136,2.513631828,-2.538684898,-1.227982367
BR,Jundiai,Varzea Paulista,Non Wealthy,Not Prioritized,Gross Profit UE,-3.425708772,0.675183799,0.302937101,-0.11912231,3.805664714,1.434407112,-0.693559327,-2.005957847,-3.798294592
MX,Reynosa,Rey_benito_juarez,Non Wealthy,Prioritized,Gross Profit UE,1.761674344,1.648163687,1.742104325,2.244822629,2.489997813,2.137905141,2.327721564,2.961460175,2.615137231
MX,Tecate,TCE Santa Anita,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.805907003,0.83105142,0.806022479,0.772897483,0.796933212,0.824657493,0.88434223,0.923122155,0.871551203
MX,Ciudad Valles,VALL Centro,Non Wealthy,Not Prioritized,Gross Profit UE,2.248450097,1.387137105,0.428395737,0.899588305,0.957718832,-1.533755461,0.228384219,2.715917536,2.385485005
BR,Brasilia,DF - BSB - Asa Sul/Asa Norte,Wealthy,Not Prioritized,Retail SST > SS CVR,0.947720487,0.951976929,0.950231504,0.948557854,0.948814105,0.946852228,0.946276503,0.946162595,0.943127244
MX,Cuautla,Cuautla,Non Wealthy,Not Prioritized,Gross Profit UE,2.459151106,2.002797001,1.839471795,2.257595507,2.37966007,2.419920265,2.989938431,3.463521349,3.250670092
EC,Guayaquil,Urdesa,Non Wealthy,High Priority,Gross Profit UE,1.505651875,1.35414783,1.146448476,0.893397699,0.858797026,0.954803799,1.036408715,1.129606177,1.833687943
PE,Arequipa,Misti Norte,Non Wealthy,Prioritized,Retail SST > SS CVR,0.813075535,0.830022282,0.823168748,0.821286941,0.826339888,0.820398378,0.831757825,0.8401695,0.836171584
AR,San Salvador De Jujuy,JUJUY,Non Wealthy,Not Prioritized,Gross Profit UE,-1.343838424,-1.253809465,-0.912436916,-0.829200134,-0.288779135,-0.151278107,-0.39816034,-0.386787166,-0.670951314
AR,Cordoba,CORDOBA_COLON,Non Wealthy,Prioritized,Gross Profit UE,0.290982355,0.117739317,-0.12159104,0.00700485,0.15763972,-0.443590065,-0.37293808,0.133896951,-0.652380264
CL,Melipilla,Melipilla centro,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0,0,0,0,0,0,0,0,0
BR,Grande São Paulo,SP - SP - Tremembe,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.916524923,0.919544201,0.934474732,0.937491909,0.936272745,0.942484974,0.940243593,0.943355279,0.940260451
BR,Campinas,SP - CPS - Sousas,Non Wealthy,Not Prioritized,Gross Profit UE,-0.563419318,-2.838587499,-4.804963061,-2.911417434,-0.938391577,-1.178354939,-2.878918614,-0.1848604,7.051524846
PE,Lima,Pumacahua,Non Wealthy,Prioritized,Retail SST > SS CVR,0.834928511,0.830156073,0.840847007,0.842784234,0.838861879,0.829664604,0.840699249,0.852674287,0.858574338
AR,La Rioja,LA_RIOJA,Non Wealthy,Not Prioritized,Gross Profit UE,-0.977924155,-0.502193068,-0.708496806,-1.014683427,-0.782620015,-0.441169084,-0.30669725,-0.159278379,-1.115539498
BR,Porto Alegre,RS - POA - Sarandi,Non Wealthy,Not Prioritized,Gross Profit UE,-3.168715741,-2.762246897,-1.369066913,-0.401780261,-0.991184685,-0.480688122,-0.696052051,-2.119583298,-3.165801593
BR,Londrina,PR - LND - Londrina,Non Wealthy,Not Prioritized,Gross Profit UE,-2.450838701,-2.895660264,-2.867696616,-2.906823582,-2.397830593,-1.961289303,-2.352826672,-2.77293942,-2.574357604
MX,Valle De Bravo,VDB_Valle_De_Bravo,Wealthy,Prioritized,Gross Profit UE,-0.785689312,-0.647258882,-0.823058093,-0.951443317,-2.56912725,-1.2733172,-7.415062874,-6.63972909,-2.486898499
CL,Santiago De Chile,lo_barnechea,Wealthy,High Priority,Retail SST > SS CVR,0.865658882,0.861830816,0.869278474,0.867865001,0.86702575,0.885041445,0.90195214,0.925637996,0.937151522
BR,Belo Horizonte,MG - BH - Caiçara/Padre Eustáquio/Gameleira,Non Wealthy,Not Prioritized,Gross Profit UE,-0.445139787,-0.676471359,-0.701278,-0.681967547,-0.468515018,-0.260645974,0.061080538,0.158757752,-0.973383397
CR,Cartago,Cartago_Oriental,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.842002968,0.833229792,0.830206787,0.818825473,0.735440875,0.735984849,0.75452381,0.791723058,0.855488722
BR,Taubate,Taubaté MP,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.347692308,0.341794872,0.302564103,0.166666667,0.1,0.033333333,0,0,0
BR,Brasilia,DF - BSB - Águas Claras,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.923841135,0.925702148,0.922249823,0.916698086,0.925123758,0.930161054,0.934961534,0.931557125,0.920105791
BR,Santos,Vilao Sao Jorge,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.827871018,0.883910256,0.799513889,0.728670635,0.773065476,0.689317043,0.76852548,0.777648448,0.733108412
EC,Cuenca,Batan,Non Wealthy,Prioritized,Retail SST > SS CVR,0.826461429,0.862657568,0.884448933,0.906205173,0.913100187,0.86322096,0.829440172,0.858458284,0.86473392
MX,Poza Rica De Hidalgo,Poza Rica Hidalgo,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.851545117,0.862002555,0.87262712,0.878388371,0.873062074,0.870765288,0.878776028,0.890299088,0.885892295
CO,Pereira,Cuba,Non Wealthy,Prioritized,Retail SST > SS CVR,0.932478628,0.931688024,0.933229683,0.932990805,0.929561659,0.935380083,0.936583163,0.942250878,0.94401891
EC,Manta,Jesus de Nazaret,Non Wealthy,Not Prioritized,Gross Profit UE,0.099432063,-2.067323677,-1.876484523,-0.076931736,0.180828944,0.493891624,0.220868707,-4.838011626,-2.964967116
MX,Orizaba,OZA Ciudad Mendoza,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.839960002,0.840118661,0.848415426,0.847650413,0.829596428,0.839143955,0.844794124,0.891135695,0.8978218
BR,Florianopolis,SC - FLN - Santo Antonio de Lisboa,Non Wealthy,Not Prioritized,Gross Profit UE,,0.610843489,1.472350535,3.146478427,,,2.137925715,3.74885878,4.654436412
UY,Montevideo,Carrasco,Non Wealthy,Prioritized,Gross Profit UE,0.797211081,0.079589552,-0.264931308,-0.961371974,-1.769292905,0.103726231,-0.535358397,0.151343457,1.080347996
MX,Navojoa,Navojoa,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.883938206,0.885027665,0.892948555,0.893595881,0.901199925,0.897649602,0.899251545,0.912832671,0.902499363
AR,Buenos Aires,Avellaneda - Sarandi,Non Wealthy,High Priority,Gross Profit UE,-2.606464243,-2.252928825,-1.755015824,-1.357793238,-1.040414667,-0.959121074,-0.948110328,-0.558965954,-1.126024996
EC,Quito,Caupicho,Non Wealthy,Not Prioritized,Gross Profit UE,-1.169884824,-1.752901058,-1.159676739,-1.100409145,-1.386039811,-0.141264514,-1.003214458,-1.710988737,-0.679218306
MX,Monterrey,Carretera Nacional,Wealthy,Prioritized,Gross Profit UE,5.228459693,4.933113889,4.780344296,4.837988201,4.51717891,4.568164654,4.719064287,5.232939604,5.425765482
CO,Bogota,Siberia,Non Wealthy,Not Prioritized,Gross Profit UE,-3.104921107,-3.285383463,0.329863043,1.601879899,1.267221754,1.227008005,1.769061024,2.376049242,2.256139233
BR,Belo Horizonte,MG - BHZ - Sul,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0.014285714,0,0,0.133333333,0.1,0.066666667,0.033333333,0,0
PE,Arequipa,PichuPichu Este,Non Wealthy,Prioritized,Gross Profit UE,0.510190598,0.264339822,0.152584478,0.217285936,-0.080522142,-0.277207258,-0.151395769,0.145736204,-0.911428225
CL,Santiago De Chile,La Florida San Joaquin,Non Wealthy,High Priority,Retail SST > SS CVR,0.849206817,0.85003682,0.858397774,0.857382532,0.857029354,0.847737388,0.845786393,0.860871249,0.864745094
BR,Maceio,AL - MCZ - Maceió,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.883560202,0.871279769,0.830159262,0.848668182,0.862218988,0.890986988,0.887578741,0.910063509,0.906760997
MX,Leon,LEO_Sur,Non Wealthy,Prioritized,Retail SST > SS CVR,0.861621884,0.866984631,0.878636733,0.88243498,0.877194794,0.875081355,0.876798345,0.882344975,0.880923966
EC,Quito,Pusuqui,Non Wealthy,Not Prioritized,Gross Profit UE,-0.211335541,-0.715868578,-1.413001137,-1.651021201,-1.386085873,-0.937412665,-1.549889061,-2.425924007,-1.299596504
CO,Medellin,Manrique_central,Non Wealthy,Prioritized,Gross Profit UE,1.957695605,1.886144603,2.028241083,2.087429014,2.308473696,2.582322554,2.677008277,2.790865534,2.496109615
AR,Mendoza,GRAN_MENDOZA_SUR,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.855120784,0.828940725,0.819920415,0.826353066,0.811900347,0.833439607,0.820407131,0.821137862,0.817441454
MX,San Luis Potosi,SLP_Soledad,Non Wealthy,Prioritized,Gross Profit UE,0.171314042,0.264615914,-0.177689069,0.2356712,0.708538868,0.816775201,1.316000954,1.573790993,1.285126199
BR,Recife,PE - JbG - Prazeres,Non Wealthy,Not Prioritized,Gross Profit UE,-3.220875878,-3.036647021,-2.876557647,-3.379734785,-3.19352877,-1.396862521,-0.058242412,-0.770845796,-0.539013308
BR,Santos,DOM Canto do Forte PRG,Non Wealthy,Not Prioritized,Gross Profit UE,-2.026279348,-2.99960237,-2.269125568,-2.017143633,-1.742199694,0.124063424,-0.174066639,-0.958306604,0.356829853
BR,Salvador,BA - SSA - Barra / Ondina,Non Wealthy,Not Prioritized,Gross Profit UE,-5.114619235,-8.583089143,-10.19245291,-6.94292963,-5.088463991,-5.834948982,-5.975239334,-4.536825005,-4.035092975
PE,Trujillo,La Esperanza,Non Wealthy,Prioritized,Gross Profit UE,0.478323361,0.12880278,0.037108711,0.161998322,-0.190898025,-0.414579847,-0.510067731,-0.448351115,-1.251135182
MX,Uruapan,Uruapan,Non Wealthy,Prioritized,Retail SST > SS CVR,0.834296388,0.844871086,0.853565431,0.860500305,0.851966659,0.844577884,0.854737035,0.870922815,0.865646017
BR,Rio De Janeiro,Cachambi,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.902348981,0.906833055,0.914220056,0.913520914,0.902236415,0.902664543,0.902643929,0.902992506,0.896988382
CO,Bogota,Colina,Wealthy,Prioritized,Gross Profit UE,2.752744357,2.82325774,2.970630122,3.04905063,3.095946113,3.246268858,3.303670586,3.394571645,2.917018018
AR,Salta,Salta_Tres_Cerritos,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.914227584,0.917301915,0.913349162,0.908834355,0.912508187,0.913502397,0.915342161,0.919458144,0.921863558
MX,Xalapa,Xalapa Bugambilias,Wealthy,Prioritized,Retail SST > SS CVR,0.907597664,0.914268105,0.921353387,0.928093761,0.925680258,0.92141857,0.921259192,0.924443335,0.917813867
AR,Cordoba,CORDOBA_COLON,Non Wealthy,Prioritized,Retail SST > SS CVR,0.902059965,0.901646579,0.895668489,0.897711763,0.90054404,0.901667202,0.909560367,0.903888149,0.897841768
MX,Monterrey,San Nicolás,Wealthy,High Priority,Gross Profit UE,1.039625156,0.929801634,0.692247826,0.575494273,0.640171781,0.40206923,0.61643031,1.372904561,1.451167156
MX,Tlaxcala,TLX San Gabriel Cuauhtla,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.861802975,0.876472144,0.884961486,0.877153944,0.867479809,0.855260961,0.877166936,0.866051714,0.836741814
MX,Tapachula,Tapachula,Non Wealthy,Not Prioritized,Gross Profit UE,2.114807105,1.886557572,1.729346391,1.714976617,-17.49319627,-29.55395237,-34.39131641,-31.69463253,-19.84582687
MX,Garcia,GAR Los nogales,Non Wealthy,Not Prioritized,Gross Profit UE,2.110903412,1.827700727,1.434252592,1.760905491,-4.636605071,-5.368253232,-0.675284085,1.749514434,1.508098251
EC,Quito,Sur - este,Non Wealthy,Not Prioritized,Gross Profit UE,0.158968533,-0.314210721,-0.494186105,-0.583702612,-0.956915079,-1.485280242,-2.004290663,-1.236899533,0.145020929
PE,Lima,San Borja,Wealthy,Prioritized,Gross Profit UE,3.393350942,3.091327832,2.990893673,3.174717215,3.102563658,3.020162666,3.080103068,3.250499704,2.340620371
AR,Rio Cuarto,RIO_CUARTO,Non Wealthy,Not Prioritized,Gross Profit UE,-1.826650945,-1.300132789,-0.876781918,-0.67117743,-0.222647241,-0.380306669,-0.520898721,-0.563862615,-1.039363069
MX,San Luis Potosi,SLP_Morales_Saucito,Non Wealthy,Prioritized,Gross Profit UE,0.833781745,0.493373815,0.273151353,0.668615694,1.231557623,1.693478197,2.057446358,2.106186523,1.638909266
CR,San Jose,Santa Barbara,Non Wealthy,Not Prioritized,Gross Profit UE,-4.087187043,-10.56491893,-11.88379952,-9.798100594,-16.42017035,-16.070004,-7.611448846,-1.85005181,-8.211029244
PE,Arequipa,Paucarpata,Non Wealthy,Prioritized,Retail SST > SS CVR,0.876814736,0.888297065,0.892436674,0.894331989,0.892305176,0.880656739,0.881522235,0.890331762,0.880366632
CR,Alajuela,ALJ Ciruelas,Non Wealthy,Not Prioritized,% PRO Users Who Breakeven,0,0,0,0,0,0,0,0,0
BR,Rio De Janeiro,Rio das Pedras,Wealthy,Not Prioritized,Gross Profit UE,-1.472633389,-1.932999375,-1.72036951,-0.553286973,0.010127134,0.092618724,0.229712739,0.764394144,1.537048828
CL,Rancagua,Rancagua Centro,Non Wealthy,Prioritized,Retail SST > SS CVR,0.845401155,0.830338284,0.809374763,0.808437377,0.791892372,0.767872975,0.771144398,0.795961044,0.79922167
CO,Barranquilla,Malambo,Non Wealthy,Not Prioritized,Gross Profit UE,-0.337087441,0.556031658,1.105199803,1.276196754,3.516408462,2.803929383,1.393947078,0.141455183,0.338568417
BR,Rio De Janeiro,Sao Cristovao,Non Wealthy,Not Prioritized,Gross Profit UE,-0.734692883,-1.220797267,-0.920811006,-0.479940779,0.183311731,0.34997123,0.934450044,1.192006657,1.380812711
MX,Cuauhtemoc,CMO Zona Centro,Non Wealthy,Not Prioritized,Restaurants SS > ATC CVR,0,0,0,0,0,0,0,0,0
MX,Queretaro,QRO_REFUGIO_ZIBATA,Non Wealthy,Prioritized,Retail SST > SS CVR,0.917514938,0.925430869,0.928513932,0.934617014,0.930896715,0.920238076,0.924894296,0.93138534,0.939725299
MX,Morelia,MOR_Itzicuaro,Non Wealthy,Prioritized,Gross Profit UE,-0.023682618,-0.048265775,0.055998709,0.110100698,0.989660488,1.910525317,2.446121082,2.766233726,2.188870084
CO,Ibague,Jardin,Non Wealthy,Prioritized,Retail SST > SS CVR,0.898825934,0.907846013,0.906618117,0.911628631,0.905116302,0.907129076,0.897331374,0.902985331,0.909200853
CO,Buga,Buga,Non Wealthy,Not Prioritized,Gross Profit UE,1.700124353,1.662005424,1.439283533,1.567018941,2.073360291,2.320866308,2.282279432,2.490851005,2.625631112
BR,Recife,PE - JbG - Guararapes,Non Wealthy,Not Prioritized,Gross Profit UE,-1.705894551,-2.490662994,-2.8401633,-1.32189947,-0.840257548,-0.818298846,0.261362173,1.542700064,0.118139169
CO,Cartagena,La siriaca,Wealthy,Prioritized,Gross Profit UE,2.622714742,2.866116767,2.936771665,2.856114721,2.957978418,2.95232916,2.926591448,3.07022894,3.253306043
BR,Niteroi,Barreto,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.939264345,0.942670023,0.944880147,0.948994546,0.950755575,0.950608909,0.939372697,0.940020973,0.933780804
CO,Medellin,Poblado_guayabal,Wealthy,Prioritized,Gross Profit UE,3.181901437,3.206207091,3.287013385,3.228766994,3.076812731,3.18406534,3.174867761,3.098639129,2.687868782
BR,Recife,PE - REC - Jardim São Paulo,Non Wealthy,Not Prioritized,Gross Profit UE,-1.610304844,-2.38399143,-2.946865194,-3.938204771,-3.198121462,-2.322364816,-2.75848212,-3.841830943,-2.58844074
PE,Piura,Enace,Non Wealthy,Prioritized,Gross Profit UE,1.207074551,0.329683089,0.929708673,1.082235924,0.788507139,0.730262109,0.411289368,0.607687064,-0.472473871
BR,Porto Alegre,RS - POA - Passo da Areia,Non Wealthy,Not Prioritized,Gross Profit UE,1.365504678,0.733521925,0.398708548,0.709254997,1.397739074,1.891337582,2.099150793,1.952885726,0.855527067
BR,Itajai,BRZ Itajaí ITJ,Non Wealthy,Not Prioritized,Pro Adoption (Last Week Status),0,0,0,0,0,0,0,0,0
