COMPETITOR,COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Avg Delivery Time (mins),34.50392986,34.39169939,31.7342068,31.03780076,34.36938314,32.32747971,33.96006526,32.97001206,30.46234454,,,,,,,,,,
Uber Eats,MX,Mexico City,Del Valle,Wealthy,Prioritized,Customer Satisfaction Score,4.508397063,4.425473422,4.581561668,4.47909461,4.364892131,4.401136238,4.540626383,4.399629945,4.494312467,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Retail SST > SS CVR,0.645292658,0.618011549,0.594012635,0.567279159,0.526598024,0.547944561,0.578241848,0.494412373,0.503615923,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Restaurants SST > SS CVR,0.455771573,0.564477555,0.58251595,0.47921337,0.522503129,0.515480925,0.506561729,0.627500903,0.559477276,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Delivery Fee (MXN),16.29966479,17.57371951,14.59553675,17.76608432,15.19162712,14.64244879,15.68497656,17.7943742,15.90292638,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Service Fee (%),0.108695344,0.122295814,0.102391513,0.159995403,0.09874435,0.118546287,0.129961989,0.156172643,0.098629934,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Avg Delivery Time (mins),30.87267619,31.88220152,29.65781012,30.18451839,31.35705057,30.31491483,26.26797121,32.62380669,28.83245782,,,,,,,,,,
Uber Eats,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Customer Satisfaction Score,4.647625196,4.421314922,4.495325152,4.464592618,4.374223479,4.415681206,4.387193338,4.377556956,4.521453641,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Retail SST > SS CVR,0.606682969,0.631709926,0.577183109,0.588148121,0.527597371,0.602920146,0.586669264,0.523576016,0.469698833,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Restaurants SST > SS CVR,0.827177975,0.915561349,0.878096848,0.87732242,0.943145323,0.929477298,0.928881962,0.953480421,0.889256672,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Delivery Fee (MXN),11.60137041,12.69456992,11.56955475,11.22750053,13.75291285,12.90582229,10.04855011,11.3938217,13.04551813,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Service Fee (%),0.131304244,0.167719849,0.167804363,0.154992517,0.137292366,0.156753544,0.141694219,0.174739848,0.152296305,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Avg Delivery Time (mins),28.24598293,29.73406183,26.15169344,27.42594571,28.13651866,28.76338343,29.32700893,26.06353679,25.68984536,,,,,,,,,,
Uber Eats,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Customer Satisfaction Score,4.20281171,4.09789133,4.214336195,4.152566536,4.05080672,4.064898953,3.966547637,4.06494926,4.037934709,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Mixed,Not Prioritized,Retail SST > SS CVR,0.491708549,0.466694793,0.452785962,0.432595288,0.355871139,0.385944792,0.410991576,0.451035461,0.431634271,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Mixed,Not Prioritized,Restaurants SST > SS CVR,0.945657613,0.901366203,0.857831909,0.897707907,0.921382313,0.969039578,0.944445939,1.004141521,0.85811502,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Mixed,Not Prioritized,Delivery Fee (MXN),14.90083981,15.98808087,13.55892228,15.79577815,14.85404778,13.65671379,16.04437215,13.20164042,13.09906523,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Mixed,Not Prioritized,Service Fee (%),0.168629031,0.143411209,0.171217885,0.134974838,0.198008677,0.184968304,0.151995989,0.127116811,0.188456949,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Mixed,Not Prioritized,Avg Delivery Time (mins),39.94955827,39.95573403,34.49375875,37.59570032,39.18103063,39.28731804,39.91706657,40.00298454,42.4307546,,,,,,,,,,
Uber Eats,MX,Mexico City,Coyoacán,Mixed,Not Prioritized,Customer Satisfaction Score,4.787058432,4.710806037,4.818097577,4.649050541,4.741574635,4.767842147,4.807256467,4.826974072,4.643348375,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Mixed,Not Prioritized,Retail SST > SS CVR,0.667669466,0.693870898,0.721180805,0.811434066,0.714807194,0.786627263,0.717562765,0.76672638,0.760393113,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Mixed,Not Prioritized,Restaurants SST > SS CVR,0.61004584,0.634010231,0.670173011,0.55349526,0.636044006,0.654662657,0.513804459,0.542578507,0.499779824,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Mixed,Not Prioritized,Delivery Fee (MXN),19.05003875,16.67903851,18.36318984,20.18434997,19.83145171,19.18060489,18.83518608,19.64630976,18.56851923,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Mixed,Not Prioritized,Service Fee (%),0.144709394,0.136654416,0.176220857,0.151913868,0.191396709,0.185335222,0.159205662,0.167725919,0.156818987,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Mixed,Not Prioritized,Avg Delivery Time (mins),42.04595342,37.29704818,37.04240126,36.9844255,36.30477005,36.81771721,35.06759046,37.55270255,38.0507162,,,,,,,,,,
Uber Eats,MX,Mexico City,Narvarte,Mixed,Not Prioritized,Customer Satisfaction Score,4.324035614,4.482343312,4.573713854,4.541083058,4.530218903,4.613732533,4.628066634,4.499265748,4.494734039,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Mixed,Not Prioritized,Retail SST > SS CVR,0.703943139,0.569699838,0.553909842,0.475629549,0.627806156,0.535839259,0.586667079,0.633667209,0.536622624,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Mixed,Not Prioritized,Restaurants SST > SS CVR,0.627680306,0.543383867,0.633879365,0.585888646,0.552593498,0.591377539,0.569628783,0.708063265,0.667788171,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Mixed,Not Prioritized,Delivery Fee (MXN),16.59608074,17.46675894,19.84438427,18.48458756,17.0295503,19.05209305,17.08198567,16.80165289,18.8657868,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Mixed,Not Prioritized,Service Fee (%),0.110884845,0.109106479,0.148337215,0.124064979,0.127335323,0.125229952,0.119798015,0.138048263,0.120458828,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Mixed,Not Prioritized,Avg Delivery Time (mins),28.98844308,28.03811887,28.68258531,28.75509135,26.75993295,27.14277594,29.26456976,28.62294351,32.29457752,,,,,,,,,,
Uber Eats,MX,Mexico City,Mixcoac,Mixed,Not Prioritized,Customer Satisfaction Score,4.38594449,4.157720899,4.281043142,4.147657359,4.043495065,4.061229031,4.22879177,4.249955525,4.133551612,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Retail SST > SS CVR,0.48735819,0.55770241,0.683504148,0.463764996,0.536887706,0.52394227,0.514216843,0.582327831,0.599631732,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Restaurants SST > SS CVR,0.736401278,0.574237145,0.657974608,0.726672977,0.687667101,0.716376664,0.667620111,0.70214886,0.690035509,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Delivery Fee (MXN),14.77382644,15.00740682,14.29916131,15.48200588,14.57519885,14.57462034,15.43716051,15.92859829,12.68557081,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Service Fee (%),0.174935623,0.191744333,0.159558547,0.126957563,0.147558328,0.130304216,0.160689784,0.168088422,0.2012488,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Avg Delivery Time (mins),24.16589657,26.29046385,26.42907554,24.83549479,22.87462202,25.21813643,24.97464266,25.78212725,22.89464048,,,,,,,,,,
Uber Eats,MX,Mexico City,Tlalpan,Mixed,Not Prioritized,Customer Satisfaction Score,4.595182864,4.698498338,4.862289437,4.653406777,4.66004221,4.589284061,4.550235714,4.718253733,4.549611769,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Mixed,Not Prioritized,Retail SST > SS CVR,0.492254783,0.436867941,0.399389881,0.458223152,0.481114966,0.394534339,0.39539582,0.389133929,0.464958733,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Mixed,Not Prioritized,Restaurants SST > SS CVR,0.769251689,0.741245562,0.814413607,0.681884356,0.658341081,0.631637804,0.795376032,0.753292099,0.717794583,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Mixed,Not Prioritized,Delivery Fee (MXN),10.02074768,12.48378842,9.637370618,9.887132272,11.62238046,10.43049146,10.05707787,10.2823335,10.09046077,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Mixed,Not Prioritized,Service Fee (%),0.117876416,0.172535237,0.130447191,0.120879408,0.138155766,0.141786003,0.162555335,0.106822212,0.171262511,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Mixed,Not Prioritized,Avg Delivery Time (mins),23.23722571,19.92963157,22.79972575,16.45375803,20.63547363,22.3515128,23.63548387,19.45828434,18.08970274,,,,,,,,,,
Uber Eats,MX,Mexico City,Doctores,Mixed,Not Prioritized,Customer Satisfaction Score,4.335878096,4.337377306,4.334679256,4.092262949,4.356522126,4.33885816,4.431572249,4.546847222,4.474608116,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Non-Wealthy,Not Prioritized,Retail SST > SS CVR,0.35568762,0.432380694,0.3665917,0.398320445,0.406582184,0.414460027,0.372668918,0.414011556,0.367420043,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Non-Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.882741168,0.820344044,0.821684198,0.847389481,0.821855906,0.813384856,0.854348656,0.836278284,0.924226794,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Non-Wealthy,Not Prioritized,Delivery Fee (MXN),17.21430658,18.05204315,18.11515487,19.49638503,19.5825255,19.03786196,19.14280527,19.82044799,20.12590711,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Non-Wealthy,Not Prioritized,Service Fee (%),0.094342637,0.139586985,0.146304519,0.135306858,0.098292382,0.110383012,0.130660908,0.096430861,0.135133386,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Non-Wealthy,Not Prioritized,Avg Delivery Time (mins),31.61655567,28.10800031,30.45813187,30.49433887,33.28162234,27.97464913,28.67436122,28.11411649,26.64926951,,,,,,,,,,
Uber Eats,MX,Mexico City,Iztapalapa,Non-Wealthy,Not Prioritized,Customer Satisfaction Score,4.890606062,4.661865067,4.819038291,4.643703,4.573291239,4.558474452,4.774738364,4.586094434,4.889616787,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Non-Wealthy,Not Prioritized,Retail SST > SS CVR,0.58835012,0.648777479,0.724614725,0.674475678,0.659237837,0.743325801,0.783785567,0.709636455,0.644880865,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Non-Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.796557967,0.818386815,0.834844204,0.790477134,0.778549882,0.827257381,0.76854648,0.837877756,0.732335938,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Non-Wealthy,Not Prioritized,Delivery Fee (MXN),20.34789694,21.34398207,22.43757811,22.3875393,19.81328677,21.32734105,20.65894317,21.62363791,21.20065861,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Non-Wealthy,Not Prioritized,Service Fee (%),0.037302168,0.095049777,0.07018172,0.088431932,0.069588938,0.072466241,0.056563375,0.066231932,0.057662905,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Non-Wealthy,Not Prioritized,Avg Delivery Time (mins),43.52885202,38.87377067,46.54354742,41.77181083,42.57155972,42.7389917,43.59605183,39.34255814,42.37024516,,,,,,,,,,
Uber Eats,MX,Mexico City,Tláhuac,Non-Wealthy,Not Prioritized,Customer Satisfaction Score,4.411597397,4.592401612,4.407156637,4.47397543,4.654554343,4.414777573,4.658719135,4.548249473,4.421227602,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Non-Wealthy,Not Prioritized,Retail SST > SS CVR,0.745318893,0.846182065,0.711564593,0.8569147,0.733740545,0.788395679,0.852936373,0.805688223,0.840542865,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Non-Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.760324781,0.771087791,0.752350687,0.725883398,0.646343637,0.750872594,0.739776068,0.742970625,0.665554255,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Non-Wealthy,Not Prioritized,Delivery Fee (MXN),24.4324993,23.7725872,25.11492901,23.9054438,23.52040939,24.87237698,22.58069965,24.48689291,22.9433747,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Non-Wealthy,Not Prioritized,Service Fee (%),0.178035214,0.148739244,0.143682056,0.181416235,0.156407773,0.173113568,0.12276547,0.157817682,0.170269293,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Non-Wealthy,Not Prioritized,Avg Delivery Time (mins),34.08598868,32.75322392,35.1055314,31.29232591,31.63947434,27.68996634,34.49884452,33.28691342,29.29554884,,,,,,,,,,
Uber Eats,MX,Mexico City,Milpa Alta,Non-Wealthy,Not Prioritized,Customer Satisfaction Score,4.414205941,4.54804716,4.56188738,4.45562079,4.498200647,4.489651765,4.513286085,4.586597353,4.613487315,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Non-Wealthy,Not Prioritized,Retail SST > SS CVR,0.53863442,0.626294485,0.583877171,0.550884081,0.707649461,0.558968478,0.650518469,0.673218751,0.513665307,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Non-Wealthy,Not Prioritized,Restaurants SST > SS CVR,0.491962164,0.45710699,0.46049016,0.45639466,0.547714843,0.559289228,0.459726701,0.446646237,0.511834794,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Non-Wealthy,Not Prioritized,Delivery Fee (MXN),22.08478676,22.08637744,25.14737386,23.7278358,21.94988742,22.95469533,22.42746247,23.37379788,23.3334966,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Non-Wealthy,Not Prioritized,Service Fee (%),0.15675793,0.131546793,0.119119792,0.107499353,0.120467136,0.134423198,0.170976894,0.124733511,0.139561496,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Non-Wealthy,Not Prioritized,Avg Delivery Time (mins),38.06252062,43.2836918,47.43539444,45.71040838,47.67188789,42.760506,41.74534575,45.94923539,45.50418376,,,,,,,,,,
Uber Eats,MX,Mexico City,Xochimilco,Non-Wealthy,Not Prioritized,Customer Satisfaction Score,4.5573169,4.608809686,4.577488871,4.633428937,4.643691027,4.664977367,4.591632456,4.51004966,4.541432836,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Wealthy,Prioritized,Retail SST > SS CVR,0.633082411,0.692307203,0.688472055,0.687580029,0.656273745,0.667730165,0.708447062,0.593089774,0.668791532,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Wealthy,Prioritized,Restaurants SST > SS CVR,0.634399598,0.662176,0.738064527,0.614512879,0.640859307,0.642370975,0.708774455,0.625137014,0.643852867,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Wealthy,Prioritized,Delivery Fee (MXN),15.76700855,15.99997507,15.40509032,15.18679689,15.22850544,15.76610199,13.78150382,16.55647768,15.11133085,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Wealthy,Prioritized,Service Fee (%),0.169709735,0.155975244,0.174697918,0.198464161,0.165838675,0.15604969,0.204776822,0.138193403,0.123177561,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Wealthy,Prioritized,Avg Delivery Time (mins),24.56974909,25.24709422,25.5161828,25.89356407,22.82765087,20.97855917,23.04329582,24.53901143,20.81795686,,,,,,,,,,
DiDi Food,MX,Mexico City,Polanco,Wealthy,Prioritized,Customer Satisfaction Score,4.385385857,4.21481356,4.243706107,4.195248556,4.254577702,4.094218219,4.363748622,4.211157044,4.331101745,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Retail SST > SS CVR,0.963483468,0.938497178,0.985385777,0.986127004,0.972996451,0.980375716,0.902781561,0.966162288,1.012460088,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Restaurants SST > SS CVR,0.765331404,0.706941561,0.830808197,0.738753278,0.669222421,0.747166397,0.706708593,0.782793353,0.708129977,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Delivery Fee (MXN),11.44744467,11.69895446,11.55130863,11.03618382,14.19662297,11.22847733,12.74786503,10.63071456,12.0964749,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Service Fee (%),0.093539326,0.06462236,0.083007655,0.083889832,0.060794589,0.114029849,0.101509128,0.079542599,0.084499599,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Avg Delivery Time (mins),24.77658883,26.60454663,25.9908539,26.35694927,26.17120223,25.06547199,26.92004673,24.40396061,28.50699164,,,,,,,,,,
DiDi Food,MX,Mexico City,Roma Norte,Wealthy,Prioritized,Customer Satisfaction Score,4.222451176,4.300055739,4.252583564,4.166083232,4.095426518,4.229942527,4.199468734,4.249639517,4.223637376,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Wealthy,Prioritized,Retail SST > SS CVR,0.675451765,0.71723237,0.65982744,0.735589008,0.689792278,0.778850447,0.651249015,0.679952566,0.618146284,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Wealthy,Prioritized,Restaurants SST > SS CVR,0.868384342,0.893631524,1.001962772,0.981226412,0.916665437,0.896749427,0.90085082,0.925525152,0.843709625,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Wealthy,Prioritized,Delivery Fee (MXN),9.95742701,8.755647479,9.799259992,9.739539456,7.002049379,7.964780162,7.304574046,10.86811801,8.760988982,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Wealthy,Prioritized,Service Fee (%),0.202958908,0.163889778,0.185015523,0.180388781,0.135814481,0.196873131,0.194944151,0.15483107,0.175258394,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Wealthy,Prioritized,Avg Delivery Time (mins),34.96409955,33.73351934,31.01551687,34.21565359,34.0030385,36.44130231,29.84764641,34.78689895,32.0053632,,,,,,,,,,
DiDi Food,MX,Mexico City,Condesa,Wealthy,Prioritized,Customer Satisfaction Score,4.344787564,4.183397082,4.428947908,4.266095109,4.347515617,4.308173171,4.360569312,4.320547418,4.184566007,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Wealthy,Prioritized,Retail SST > SS CVR,0.655539066,0.730185934,0.700947799,0.598901771,0.626582214,0.694534809,0.710855539,0.729626634,0.729227052,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Wealthy,Prioritized,Restaurants SST > SS CVR,0.898358946,0.954349249,0.914774534,0.889882969,0.893017584,0.899255014,0.900973965,0.939216554,0.905432371,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Wealthy,Prioritized,Delivery Fee (MXN),8.341206515,7.437167623,8.282128101,8.920512782,7.883358952,8.481414241,8.611465082,8.92465738,8.338542647,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Wealthy,Prioritized,Service Fee (%),0.15327693,0.173327097,0.12876781,0.153723259,0.110761484,0.143815081,0.110491292,0.119084224,0.16984023,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Wealthy,Prioritized,Avg Delivery Time (mins),38.45727696,35.52852548,37.30106982,41.36965962,39.28877615,37.9780866,36.46500343,37.49784216,37.75797707,,,,,,,,,,
DiDi Food,MX,Mexico City,Del Valle,Wealthy,Prioritized,Customer Satisfaction Score,4.586133552,4.605083731,4.426910217,4.704553862,4.426576169,4.571474255,4.465783124,4.534796874,4.57408695,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Retail SST > SS CVR,0.952406726,1.007135803,0.963596875,0.953154257,0.851137455,0.888690613,0.987722732,0.96387424,0.971450039,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Restaurants SST > SS CVR,0.749561504,0.710288878,0.72407048,0.709138066,0.71857061,0.662977903,0.645789113,0.797516911,0.67544359,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Delivery Fee (MXN),11.10997015,12.35916123,11.36955189,12.06172325,12.83239101,11.96258134,13.75236208,14.19667534,10.41360149,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Service Fee (%),0.152673518,0.116345251,0.212152216,0.138541916,0.13342539,0.186784774,0.215128413,0.194018821,0.177611547,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Avg Delivery Time (mins),35.7543434,37.04388383,35.8819214,37.36586133,36.19234172,34.35901841,34.51856954,34.29117002,38.20151624,,,,,,,,,,
DiDi Food,MX,Mexico City,Santa Fe,Wealthy,Prioritized,Customer Satisfaction Score,4.36958436,4.523160682,4.274278961,4.332366208,4.52540614,4.333080282,4.408865706,4.486334231,4.334494576,,,,,,,,,,
DiDi Food,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Retail SST > SS CVR,0.683050499,0.60183331,0.598742984,0.543857771,0.660589909,0.586961966,0.561771011,0.593903594,0.614317241,,,,,,,,,,
DiDi Food,MX,Mexico City,Lomas de Chapultepec,Wealthy,Prioritized,Restaurants SST > SS CVR,0.807766681,0.803248914,0.802835495,0.765706326,0.767660864,0.730675646,0.888284747,0.738612748,0.76616065,,,,,,,,,,
